Date,Q1,Q2,Q3
2023-11-22,0,0,0
2023-11-22,2,0,0
2023-11-22,2,2,0
2023-11-22,2,2,3
2023-11-22,2,2,3
2023-11-22,0,0,0
2023-11-22,2,0,0
2023-11-22,1,0,0
2023-11-22,1,1,0
2023-11-22,1,1,1
2023-11-22,1,1,1
2023-11-22,0,0,0
2023-11-22,3,0,0
2023-11-22,3,3,0
2023-11-22,3,3,3
2023-11-22,3,3,3
2023-11-22,0,0,0
2023-11-22,3,0,0
2023-11-22,3,3,0
2023-11-22,3,3,3
2023-11-22,3,3,3
2023-11-22,0,0,0
2023-11-22,3,0,0
2023-11-22,3,2,0
2023-11-22,3,2,3
2023-11-22,3,2,3
2023-11-22,0,0,0
2023-11-22,0,0,0
